response,rt,Post_Coherence,Pre_Coherence,Accuracy_initial,World_state,Decision_Initial,Confidence_Initial,subj_idx
1,0.6647,1,1,-1,-1,-1,-0.668,1
0,1.0312,2,1,1,-1,1,-0.332,1
1,0.69799,1,2,1,-1,1,0,1
1,1.3314,2,2,1,-1,1,-0.332,1
1,0.56464,2,1,1,1,-1,0.668,1
1,0.69785,1,2,1,1,-1,-0.668,1
1,0.83151,1,1,1,1,-1,-0.332,1
1,0.66453,2,1,1,1,-1,-0.332,1
0,0.89812,1,2,-1,1,1,-1,1
1,0.63136,2,2,1,1,-1,0,1
1,1.4981,1,1,1,-1,1,-1,1
1,0.59793,1,2,1,1,-1,-1,1
1,0.69792,2,1,-1,-1,-1,-0.332,1
0,1.0313,1,2,-1,-1,-1,0,1
1,0.59788,2,1,1,1,-1,0,1
1,0.59793,1,2,1,1,-1,0.668,1
1,0.66463,1,1,1,-1,1,0.332,1
0,0.83126,2,1,-1,-1,-1,0,1
0,0.76472,1,2,-1,-1,-1,0,1
1,0.61457,2,1,1,1,-1,0.668,1
1,1.248,2,1,1,-1,1,-0.332,1
1,0.5982,1,2,1,1,-1,0.668,1
1,0.66469,1,2,1,1,-1,-0.668,1
1,0.63127,2,1,1,-1,1,0,1
1,0.79819,2,1,-1,-1,-1,-0.332,1
0,0.7981,1,1,1,-1,1,-1,1
1,0.59812,2,1,1,1,-1,-0.668,1
1,0.96476,1,1,1,-1,1,-0.668,1
1,0.79796,1,1,-1,-1,-1,-0.668,1
1,0.49798,2,2,1,1,-1,0.668,1
1,0.76477,2,2,-1,-1,-1,-0.668,1
1,0.6979,2,2,-1,-1,-1,-0.332,1
1,0.63132,1,1,1,1,-1,-1,1
1,0.63141,2,1,1,1,-1,-0.668,1
1,0.68146,1,2,1,-1,1,0.332,1
1,0.64818,2,2,1,-1,1,-0.332,1
1,0.56467,2,2,1,1,-1,1,1
1,0.73135,2,2,1,-1,1,0,1
1,0.56454,1,1,1,1,-1,-0.668,1
1,0.79808,1,1,-1,-1,-1,-0.332,1
1,0.59823,1,1,1,1,-1,-0.668,1
1,0.56489,1,2,1,1,-1,-0.332,1
1,0.86466,2,1,1,-1,1,-1,1
1,0.63131,2,2,-1,-1,-1,-0.332,1
0,0.79804,2,1,1,-1,1,-0.332,1
1,0.79812,1,2,1,1,-1,-0.332,1
1,0.6314,2,2,-1,1,1,-1,1
1,0.69803,1,1,1,1,-1,-0.668,1
0,0.63137,1,2,-1,1,1,0,1
1,0.56478,2,2,1,1,-1,0,1
1,0.6147,1,2,1,1,-1,0,1
1,0.498,2,1,-1,-1,-1,-1,1
0,0.66482,1,2,-1,-1,-1,0.668,1
1,0.89791,2,1,1,1,-1,-0.332,1
1,0.49816,2,1,1,1,-1,0.332,1
1,0.64811,1,2,1,1,-1,-1,1
1,0.63154,2,2,-1,-1,-1,-0.668,1
1,0.66462,1,2,1,-1,1,-1,1
0,0.83121,1,1,-1,-1,-1,0.332,1
0,1.1647,2,2,1,-1,1,0,1
1,0.63135,2,1,1,1,-1,-0.332,1
1,0.59805,1,2,1,1,-1,-1,1
1,0.51461,2,2,1,-1,1,0,1
1,0.56472,1,2,1,1,-1,-0.332,1
1,0.63132,2,2,-1,-1,-1,0,1
1,0.59797,2,1,-1,-1,-1,-1,1
1,0.64789,2,2,1,1,-1,-0.332,1
1,0.54824,1,2,1,1,-1,0.332,1
1,0.66471,2,1,1,1,-1,-0.668,1
1,0.56473,1,2,1,1,-1,-1,1
1,0.598,1,2,1,1,-1,-0.668,1
1,0.59797,2,1,1,1,-1,-0.668,1
1,0.79818,2,2,1,-1,1,0.332,1
1,0.56464,1,2,1,1,-1,-0.332,1
1,0.94802,1,2,1,-1,1,0.332,1
1,0.6148,2,1,1,1,-1,-0.332,1
1,0.61468,1,2,1,-1,1,0.332,1
0,0.66462,1,2,-1,-1,-1,-1,1
1,0.53133,1,1,-1,1,1,-1,1
1,1.2648,2,2,1,-1,1,-0.332,1
1,0.6479,1,2,1,1,-1,-0.332,1
1,0.76451,2,1,1,1,-1,-0.332,1
1,0.63141,2,1,1,1,-1,0,1
1,0.86456,1,1,1,1,-1,-1,1
1,0.76472,1,1,1,-1,1,-0.332,1
0,1.1649,1,2,-1,-1,-1,-1,1
1,0.59815,2,1,1,1,-1,0,1
1,0.76483,1,1,1,-1,1,-0.332,1
1,0.59804,1,1,-1,-1,-1,-0.332,1
1,0.5979,2,1,-1,-1,-1,-0.668,1
0,0.59802,2,2,-1,-1,-1,0,1
1,0.56474,2,2,1,1,-1,-0.332,1
1,0.5647,1,2,1,1,-1,0.332,1
1,1.0978,1,1,-1,-1,-1,-0.332,1
1,0.49796,2,1,1,1,-1,0.332,1
1,0.66443,1,2,1,-1,1,-1,1
1,0.63129,1,2,-1,1,1,-1,1
1,1.2647,2,1,1,1,-1,-0.332,1
1,0.66472,2,2,1,-1,1,0,1
1,0.69804,1,2,1,-1,1,0,1
1,0.59821,2,2,1,1,-1,0.332,1
1,0.59784,1,1,1,1,-1,-1,1
1,0.59807,1,1,1,-1,1,0,1
1,0.63141,1,2,1,1,-1,0,1
1,0.46464,2,2,1,1,-1,0,1
1,0.56469,2,2,1,-1,1,0,1
1,0.49789,1,1,1,1,-1,-0.332,1
1,0.4647,2,1,1,1,-1,-0.332,1
1,0.69782,1,2,1,1,-1,0.332,1
1,0.69803,2,1,1,1,-1,-0.668,1
1,0.59755,1,2,1,-1,1,0,1
1,0.51463,1,2,1,1,-1,0,1
1,0.91455,2,2,-1,1,1,0.332,1
1,0.63132,2,1,1,-1,1,0,1
1,1.0981,2,1,1,-1,1,-0.332,1
1,0.63155,1,2,1,1,-1,-0.332,1
1,0.66438,1,1,1,-1,1,-0.332,1
1,0.59794,2,1,1,1,-1,-0.332,1
1,0.56456,2,1,1,1,-1,-0.332,1
1,0.53143,2,1,1,-1,1,-0.668,1
1,0.66478,2,2,1,1,-1,0.332,1
0,1.2647,1,2,-1,-1,-1,0,1
0,0.86485,1,1,1,-1,1,-0.668,1
1,0.53166,1,1,1,1,-1,-0.332,1
1,0.53141,2,1,1,1,-1,0.332,1
1,1.4645,1,1,1,-1,1,-0.332,1
1,0.53133,2,2,1,1,-1,0.332,1
1,0.79797,1,1,1,1,-1,-0.668,1
1,0.66476,2,1,-1,-1,-1,0.332,1
1,0.59781,2,2,-1,-1,-1,-1,1
1,0.49798,2,1,1,1,-1,0,1
1,0.73115,1,1,1,-1,1,-0.668,1
1,0.66469,1,1,1,1,-1,0,1
0,0.53132,1,2,-1,-1,-1,0.332,1
1,0.53133,2,1,1,-1,1,-0.332,1
1,0.53149,2,1,1,1,-1,-0.332,1
1,0.51475,2,1,1,1,-1,-1,1
1,0.46498,1,2,1,-1,1,-1,1
1,0.59833,1,1,1,1,-1,-1,1
1,0.56498,2,1,1,1,-1,-1,1
0,0.63173,1,2,1,-1,1,-1,1
1,0.49816,2,1,1,-1,1,-0.668,1
1,0.93129,1,2,-1,-1,-1,-0.332,1
1,0.59792,1,2,1,1,-1,0,1
0,1.3648,2,2,-1,-1,-1,0,1
1,0.53099,2,1,1,1,-1,-0.668,1
1,0.63141,2,1,1,1,-1,0,1
1,0.63144,1,2,1,-1,1,-0.332,1
1,0.6311,1,1,1,1,-1,0,1
1,0.53144,2,1,1,-1,1,0,1
1,0.5979,1,1,1,1,-1,-0.332,1
1,0.63134,1,2,1,1,-1,0,1
0,0.93138,2,1,1,-1,1,-0.668,1
1,0.83137,2,2,-1,-1,-1,0,1
1,0.53131,2,1,1,1,-1,-0.668,1
1,0.66471,1,2,1,1,-1,0,1
1,0.93125,2,1,1,-1,1,-1,1
1,0.8315,1,1,-1,-1,-1,-1,1
1,0.5648,1,2,1,-1,1,-0.332,1
1,0.43151,1,1,1,1,-1,-0.332,1
1,0.63115,2,2,1,1,-1,0,1
0,0.66477,1,1,1,-1,1,-1,1
1,0.39815,2,2,1,1,-1,0,1
1,0.6647,2,2,-1,1,1,-0.332,1
0,0.76483,2,1,-1,-1,-1,0,1
0,0.83109,2,1,1,-1,1,-1,1
1,0.59816,1,2,-1,-1,-1,-0.332,1
1,0.63116,2,2,1,-1,1,0.332,1
1,0.64801,1,1,-1,-1,-1,-0.668,1
1,0.69802,1,2,1,1,-1,-0.668,1
1,0.63125,1,2,1,1,-1,-0.332,1
1,0.6314,1,2,-1,-1,-1,-1,1
1,0.59796,2,1,1,-1,1,-0.332,1
1,0.59791,1,2,-1,-1,-1,-1,1
1,0.53159,1,2,1,1,-1,-0.332,1
1,0.53135,2,1,1,1,-1,0.332,1
1,0.61483,1,1,1,1,-1,0.332,1
1,0.88122,1,1,1,-1,1,0,1
1,0.59814,1,2,1,1,-1,0,1
1,0.49804,2,2,1,1,-1,-0.332,1
0,0.86476,1,2,-1,-1,-1,0,1
1,0.68178,2,2,1,1,-1,-0.668,1
1,0.63147,2,1,1,1,-1,-1,1
1,0.53129,2,1,-1,1,1,-1,1
0,0.63144,1,1,1,-1,1,-1,1
0,0.69542,2,1,-1,1,1,0,2
1,0.79718,1,1,-1,-1,-1,-0.332,2
1,0.7138,2,2,-1,1,1,0,2
1,0.99694,1,1,1,-1,1,0.332,2
1,0.72911,2,1,-1,1,1,-0.668,2
1,0.76335,2,2,1,-1,1,0.332,2
1,0.86361,1,2,-1,1,1,0,2
1,1.1303,1,1,1,1,-1,-0.332,2
1,0.76348,2,2,1,-1,1,0.332,2
0,0.96347,1,1,-1,1,1,-0.332,2
1,0.89667,1,2,1,1,-1,0,2
1,0.79675,1,2,-1,-1,-1,-0.332,2
1,0.63002,1,1,1,-1,1,0.332,2
0,0.96304,2,2,1,1,-1,0,2
0,0.77965,2,1,1,-1,1,-0.332,2
1,0.91318,1,1,1,1,-1,-0.668,2
0,1.4797,1,1,1,-1,1,-0.332,2
1,0.62956,2,2,-1,-1,-1,-0.332,2
1,0.64626,2,1,1,-1,1,-0.668,2
1,1.5628,2,1,1,-1,1,0,2
